step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-140.318695,0.000000,-140.318695,0.000,0.268925
200,50.000,-139.960526,0.584851,-139.375674,141.394,0.845197
400,100.000,-139.547699,0.720376,-138.827323,174.159,1.476023
600,150.000,-139.506378,0.985731,-138.520648,238.311,2.336543
800,200.000,-139.336121,1.261200,-138.074920,304.909,1.527210
1000,250.000,-139.047546,1.125159,-137.922387,272.019,1.781371
