step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-53.363415,0.000000,-53.363415,0.000,0.011570
200,50.000,-53.374104,0.264250,-53.109854,157.256,0.598845
400,100.000,-53.531643,0.452065,-53.079578,269.025,1.894082
600,150.000,-53.599747,0.620907,-52.978840,369.504,1.436274
800,200.000,-53.292973,0.488983,-52.803989,290.996,1.767484
1000,250.000,-53.660221,0.411144,-53.249077,244.673,1.187209
