material_id,property,raw_temperature,raw_temperature_unit,temperature_K,raw_value,raw_unit,value_SI,SI_unit,uncertainty_raw,condition,data_kind,source_id,source_locator,transformation,raw_source_file,raw_sheet,raw_row_number,raw_row_json
MAT-SS316-XLSX,specific_heat,380,°C,653.15,0.532882737779046,J/(g·K),532.882737779046,J/(kg·K),0.0232987289023137,unspecified,measured,SRC-SS316-XLSX,Sheet1,T_K=T_C+273.15; SI=value×1000,alloy_material_dataset_v0.1.xlsx,Curve_Data,14,"{""SI_unit"": ""J/(kg·K)"", ""condition"": ""unspecified"", ""data_kind"": ""measured"", ""material_id"": ""MAT-SS316-XLSX"", ""property"": ""specific_heat"", ""source_id"": ""SRC-SS316-XLSX"", ""source_locator"": ""Sheet1"", ""temperature_K"": ""653.15"", ""transformation"": ""T_K=T_C+273.15; SI=value×1000"", ""uncertainty_raw"": ""0.0232987289023137"", ""value_SI"": ""532.882737779046""}"
MAT-SS316-XLSX,thermal_diffusivity,380,°C,653.15,4.41266666666667,mm²/s,4.41266666666667,mm²/s,0.136756124227131,unspecified,measured,SRC-SS316-XLSX,Sheet1,T_K=T_C+273.15; SI=value,alloy_material_dataset_v0.1.xlsx,Curve_Data,15,"{""SI_unit"": ""mm²/s"", ""condition"": ""unspecified"", ""data_kind"": ""measured"", ""material_id"": ""MAT-SS316-XLSX"", ""property"": ""thermal_diffusivity"", ""source_id"": ""SRC-SS316-XLSX"", ""source_locator"": ""Sheet1"", ""temperature_K"": ""653.15"", ""transformation"": ""T_K=T_C+273.15; SI=value"", ""uncertainty_raw"": ""0.136756124227131"", ""value_SI"": ""4.41266666666667""}"
MAT-SS316-XLSX,thermal_conductivity,420,°C,693.15,19.8250191245462,W/(m·K),19.8250191245462,W/(m·K),1.06471639466642,unspecified,measured,SRC-SS316-XLSX,Sheet1,T_K=T_C+273.15; SI=value,alloy_material_dataset_v0.1.xlsx,Curve_Data,16,"{""SI_unit"": ""W/(m·K)"", ""condition"": ""unspecified"", ""data_kind"": ""measured"", ""material_id"": ""MAT-SS316-XLSX"", ""property"": ""thermal_conductivity"", ""source_id"": ""SRC-SS316-XLSX"", ""source_locator"": ""Sheet1"", ""temperature_K"": ""693.15"", ""transformation"": ""T_K=T_C+273.15; SI=value"", ""uncertainty_raw"": ""1.06471639466642"", ""value_SI"": ""19.8250191245462""}"
MAT-SS316-XLSX,specific_heat,420,°C,693.15,0.535737540703751,J/(g·K),535.737540703751,J/(kg·K),0.0240734074943985,unspecified,measured,SRC-SS316-XLSX,Sheet1,T_K=T_C+273.15; SI=value×1000,alloy_material_dataset_v0.1.xlsx,Curve_Data,17,"{""SI_unit"": ""J/(kg·K)"", ""condition"": ""unspecified"", ""data_kind"": ""measured"", ""material_id"": ""MAT-SS316-XLSX"", ""property"": ""specific_heat"", ""source_id"": ""SRC-SS316-XLSX"", ""source_locator"": ""Sheet1"", ""temperature_K"": ""693.15"", ""transformation"": ""T_K=T_C+273.15; SI=value×1000"", ""uncertainty_raw"": ""0.0240734074943985"", ""value_SI"": ""535.737540703751""}"
MAT-SS316-XLSX,thermal_diffusivity,420,°C,693.15,4.492,mm²/s,4.492,mm²/s,0.14037069206174,unspecified,measured,SRC-SS316-XLSX,Sheet1,T_K=T_C+273.15; SI=value,alloy_material_dataset_v0.1.xlsx,Curve_Data,18,"{""SI_unit"": ""mm²/s"", ""condition"": ""unspecified"", ""data_kind"": ""measured"", ""material_id"": ""MAT-SS316-XLSX"", ""property"": ""thermal_diffusivity"", ""source_id"": ""SRC-SS316-XLSX"", ""source_locator"": ""Sheet1"", ""temperature_K"": ""693.15"", ""transformation"": ""T_K=T_C+273.15; SI=value"", ""uncertainty_raw"": ""0.14037069206174"", ""value_SI"": ""4.492""}"
MAT-SS316-XLSX,thermal_conductivity,460,°C,733.15,20.332719171001,W/(m·K),20.332719171001,W/(m·K),1.11782985492019,unspecified,measured,SRC-SS316-XLSX,Sheet1,T_K=T_C+273.15; SI=value,alloy_material_dataset_v0.1.xlsx,Curve_Data,19,"{""SI_unit"": ""W/(m·K)"", ""condition"": ""unspecified"", ""data_kind"": ""measured"", ""material_id"": ""MAT-SS316-XLSX"", ""property"": ""thermal_conductivity"", ""source_id"": ""SRC-SS316-XLSX"", ""source_locator"": ""Sheet1"", ""temperature_K"": ""733.15"", ""transformation"": ""T_K=T_C+273.15; SI=value"", ""uncertainty_raw"": ""1.11782985492019"", ""value_SI"": ""20.332719171001""}"
MAT-SS316-XLSX,specific_heat,460,°C,733.15,0.538194957403874,J/(g·K),538.194957403874,J/(kg·K),0.0251510631047864,unspecified,measured,SRC-SS316-XLSX,Sheet1,T_K=T_C+273.15; SI=value×1000,alloy_material_dataset_v0.1.xlsx,Curve_Data,20,"{""SI_unit"": ""J/(kg·K)"", ""condition"": ""unspecified"", ""data_kind"": ""measured"", ""material_id"": ""MAT-SS316-XLSX"", ""property"": ""specific_heat"", ""source_id"": ""SRC-SS316-XLSX"", ""source_locator"": ""Sheet1"", ""temperature_K"": ""733.15"", ""transformation"": ""T_K=T_C+273.15; SI=value×1000"", ""uncertainty_raw"": ""0.0251510631047864"", ""value_SI"": ""538.194957403874""}"
MAT-SS316-XLSX,thermal_diffusivity,460,°C,733.15,4.586,mm²/s,4.586,mm²/s,0.143549143887287,unspecified,measured,SRC-SS316-XLSX,Sheet1,T_K=T_C+273.15; SI=value,alloy_material_dataset_v0.1.xlsx,Curve_Data,21,"{""SI_unit"": ""mm²/s"", ""condition"": ""unspecified"", ""data_kind"": ""measured"", ""material_id"": ""MAT-SS316-XLSX"", ""property"": ""thermal_diffusivity"", ""source_id"": ""SRC-SS316-XLSX"", ""source_locator"": ""Sheet1"", ""temperature_K"": ""733.15"", ""transformation"": ""T_K=T_C+273.15; SI=value"", ""uncertainty_raw"": ""0.143549143887287"", ""value_SI"": ""4.586""}"
MAT-SS316-XLSX,thermal_conductivity,500,°C,773.15,20.7832737505958,W/(m·K),20.7832737505958,W/(m·K),1.18789355904766,unspecified,measured,SRC-SS316-XLSX,Sheet1,T_K=T_C+273.15; SI=value,alloy_material_dataset_v0.1.xlsx,Curve_Data,22,"{""SI_unit"": ""W/(m·K)"", ""condition"": ""unspecified"", ""data_kind"": ""measured"", ""material_id"": ""MAT-SS316-XLSX"", ""property"": ""thermal_conductivity"", ""source_id"": ""SRC-SS316-XLSX"", ""source_locator"": ""Sheet1"", ""temperature_K"": ""773.15"", ""transformation"": ""T_K=T_C+273.15; SI=value"", ""uncertainty_raw"": ""1.18789355904766"", ""value_SI"": ""20.7832737505958""}"
MAT-SS316-XLSX,specific_heat,500,°C,773.15,0.539647979315778,J/(g·K),539.647979315778,J/(kg·K),0.0269720435855207,unspecified,measured,SRC-SS316-XLSX,Sheet1,T_K=T_C+273.15; SI=value×1000,alloy_material_dataset_v0.1.xlsx,Curve_Data,23,"{""SI_unit"": ""J/(kg·K)"", ""condition"": ""unspecified"", ""data_kind"": ""measured"", ""material_id"": ""MAT-SS316-XLSX"", ""property"": ""specific_heat"", ""source_id"": ""SRC-SS316-XLSX"", ""source_locator"": ""Sheet1"", ""temperature_K"": ""773.15"", ""transformation"": ""T_K=T_C+273.15; SI=value×1000"", ""uncertainty_raw"": ""0.0269720435855207"", ""value_SI"": ""539.647979315778""}"
