material_id,property,value,unit,temperature_K,uncertainty,data_kind,condition,source_id,source_locator,notes,raw_source_file,raw_sheet,raw_row_number,raw_row_json
MAT-BAMBU-PAHT-CF,heat_deflection_temperature,194,°C,467.15,,reported,FDM X-Y; 100% infill; ISO 75 0.45 MPa,SRC-BAMBU-FILAMENT-MD,PAHT-CF 物理性能表,热变形温度,3D打印耗材详细性能.md,PAHT-CF,807,
MAT-BAMBU-PAHT-CF,tensile_strength,92,MPa,298.15,7,reported,FDM X-Y; 100% infill; ISO 527,SRC-BAMBU-FILAMENT-MD,PAHT-CF 机械性能表,拉伸强度 X-Y,3D打印耗材详细性能.md,PAHT-CF,809,
MAT-BAMBU-PAHT-CF,youngs_modulus,3860,MPa,298.15,230,reported,FDM X-Y; 100% infill; ISO 527,SRC-BAMBU-FILAMENT-MD,PAHT-CF 机械性能表,杨氏模量 X-Y,3D打印耗材详细性能.md,PAHT-CF,809,
MAT-BAMBU-PC,density,1200,kg/m³,298.15,,reported,FDM X-Y; 100% infill,SRC-BAMBU-FILAMENT-MD,PC 物理性能表,ISO 1183；由 1.20 g/cm³ 换算,3D打印耗材详细性能.md,PC,902,
MAT-BAMBU-PC,heat_deflection_temperature,112,°C,385.15,,reported,FDM X-Y; 100% infill; ISO 75 1.8 MPa,SRC-BAMBU-FILAMENT-MD,PC 物理性能表,热变形温度,3D打印耗材详细性能.md,PC,902,
MAT-BAMBU-PC,heat_deflection_temperature,117,°C,390.15,,reported,FDM X-Y; 100% infill; ISO 75 0.45 MPa,SRC-BAMBU-FILAMENT-MD,PC 物理性能表,热变形温度,3D打印耗材详细性能.md,PC,902,
MAT-BAMBU-PC,tensile_strength,55,MPa,298.15,4,reported,FDM X-Y; 100% infill; ISO 527,SRC-BAMBU-FILAMENT-MD,PC 机械性能表,拉伸强度 X-Y,3D打印耗材详细性能.md,PC,904,
MAT-BAMBU-PC,youngs_modulus,2110,MPa,298.15,40,reported,FDM X-Y; 100% infill; ISO 527,SRC-BAMBU-FILAMENT-MD,PC 机械性能表,杨氏模量 X-Y,3D打印耗材详细性能.md,PC,904,
MAT-IN718,density,8221,kg/m³,294.15,,typical,annealed and aged,SRC-IN718-SMC,p.4 Table 2,converted from 0.297 lb/in³,alloy_material_dataset_v0.1.xlsx,Property_Points,5,"{""condition"": ""annealed and aged"", ""data_kind"": ""typical"", ""material_id"": ""MAT-IN718"", ""notes"": ""converted from 0.297 lb/in³"", ""property"": ""density"", ""source_id"": ""SRC-IN718-SMC"", ""source_locator"": ""p.4 Table 2"", ""temperature_K"": ""294.15"", ""uncertainty"": """", ""unit"": ""kg/m³"", ""value"": ""8221""}"
MAT-IN718,specific_heat,435,J/(kg·K),294.15,,typical,unspecified,SRC-IN718-SMC,p.4 Table 2,at 21°C,alloy_material_dataset_v0.1.xlsx,Property_Points,6,"{""condition"": ""unspecified"", ""data_kind"": ""typical"", ""material_id"": ""MAT-IN718"", ""notes"": ""at 21°C"", ""property"": ""specific_heat"", ""source_id"": ""SRC-IN718-SMC"", ""source_locator"": ""p.4 Table 2"", ""temperature_K"": ""294.15"", ""uncertainty"": """", ""unit"": ""J/(kg·K)"", ""value"": ""435""}"
MAT-IN718,melting_range_low,1533.15,K,,,typical,unspecified,SRC-IN718-SMC,p.4 Table 2,1260°C,alloy_material_dataset_v0.1.xlsx,Property_Points,7,"{""condition"": ""unspecified"", ""data_kind"": ""typical"", ""material_id"": ""MAT-IN718"", ""notes"": ""1260°C"", ""property"": ""melting_range_low"", ""source_id"": ""SRC-IN718-SMC"", ""source_locator"": ""p.4 Table 2"", ""temperature_K"": """", ""uncertainty"": """", ""unit"": ""K"", ""value"": ""1533.15""}"
MAT-IN718,melting_range_high,1609.15,K,,,typical,unspecified,SRC-IN718-SMC,p.4 Table 2,1336°C,alloy_material_dataset_v0.1.xlsx,Property_Points,8,"{""condition"": ""unspecified"", ""data_kind"": ""typical"", ""material_id"": ""MAT-IN718"", ""notes"": ""1336°C"", ""property"": ""melting_range_high"", ""source_id"": ""SRC-IN718-SMC"", ""source_locator"": ""p.4 Table 2"", ""temperature_K"": """", ""uncertainty"": """", ""unit"": ""K"", ""value"": ""1609.15""}"
MAT-TI64,density,4430,kg/m³,293.15,,typical,unspecified,SRC-TI64-TIMET,p.1/p.2 text,4.43 g/cm³,alloy_material_dataset_v0.1.xlsx,Property_Points,9,"{""condition"": ""unspecified"", ""data_kind"": ""typical"", ""material_id"": ""MAT-TI64"", ""notes"": ""4.43 g/cm³"", ""property"": ""density"", ""source_id"": ""SRC-TI64-TIMET"", ""source_locator"": ""p.1/p.2 text"", ""temperature_K"": ""293.15"", ""uncertainty"": """", ""unit"": ""kg/m³"", ""value"": ""4430""}"
MAT-TI64,magnetic_permeability,1.00005,dimensionless,293.15,,literature,20 oersteds,SRC-TI64-TIMET,p.3 text,direction dependent,alloy_material_dataset_v0.1.xlsx,Property_Points,10,"{""condition"": ""20 oersteds"", ""data_kind"": ""literature"", ""material_id"": ""MAT-TI64"", ""notes"": ""direction dependent"", ""property"": ""magnetic_permeability"", ""source_id"": ""SRC-TI64-TIMET"", ""source_locator"": ""p.3 text"", ""temperature_K"": ""293.15"", ""uncertainty"": """", ""unit"": ""dimensionless"", ""value"": ""1.00005""}"
MAT-TI64,melting_range_low,1903.15,K,,,typical,unspecified,SRC-TI64-TIMET,p.3 text,1630°C,alloy_material_dataset_v0.1.xlsx,Property_Points,11,"{""condition"": ""unspecified"", ""data_kind"": ""typical"", ""material_id"": ""MAT-TI64"", ""notes"": ""1630°C"", ""property"": ""melting_range_low"", ""source_id"": ""SRC-TI64-TIMET"", ""source_locator"": ""p.3 text"", ""temperature_K"": """", ""uncertainty"": """", ""unit"": ""K"", ""value"": ""1903.15""}"
MAT-TI64,melting_range_high,1923.15,K,,,typical,unspecified,SRC-TI64-TIMET,p.3 text,1650°C,alloy_material_dataset_v0.1.xlsx,Property_Points,12,"{""condition"": ""unspecified"", ""data_kind"": ""typical"", ""material_id"": ""MAT-TI64"", ""notes"": ""1650°C"", ""property"": ""melting_range_high"", ""source_id"": ""SRC-TI64-TIMET"", ""source_locator"": ""p.3 text"", ""temperature_K"": """", ""uncertainty"": """", ""unit"": ""K"", ""value"": ""1923.15""}"
MAT-TI64,beta_transus,1269.15,K,,14,typical,standard grade,SRC-TI64-TIMET,p.3 text,996 ±14°C,alloy_material_dataset_v0.1.xlsx,Property_Points,13,"{""condition"": ""standard grade"", ""data_kind"": ""typical"", ""material_id"": ""MAT-TI64"", ""notes"": ""996 ±14°C"", ""property"": ""beta_transus"", ""source_id"": ""SRC-TI64-TIMET"", ""source_locator"": ""p.3 text"", ""temperature_K"": """", ""uncertainty"": ""14"", ""unit"": ""K"", ""value"": ""1269.15""}"
MAT-316L-SRM1155A,density,7904,kg/m³,293.15,25,measured,room temperature,SRC-316L-PICHLER,Results text,,alloy_material_dataset_v0.1.xlsx,Property_Points,14,"{""condition"": ""room temperature"", ""data_kind"": ""measured"", ""material_id"": ""MAT-316L-SRM1155A"", ""notes"": """", ""property"": ""density"", ""source_id"": ""SRC-316L-PICHLER"", ""source_locator"": ""Results text"", ""temperature_K"": ""293.15"", ""uncertainty"": ""25"", ""unit"": ""kg/m³"", ""value"": ""7904""}"
MAT-316L-SRM1155A,solidus_temperature,1675,K,,15,measured,SRM 1155a,SRC-316L-PICHLER,Results text,,alloy_material_dataset_v0.1.xlsx,Property_Points,15,"{""condition"": ""SRM 1155a"", ""data_kind"": ""measured"", ""material_id"": ""MAT-316L-SRM1155A"", ""notes"": """", ""property"": ""solidus_temperature"", ""source_id"": ""SRC-316L-PICHLER"", ""source_locator"": ""Results text"", ""temperature_K"": """", ""uncertainty"": ""15"", ""unit"": ""K"", ""value"": ""1675""}"
MAT-316L-SRM1155A,liquidus_temperature,1708,K,,30,measured,SRM 1155a,SRC-316L-PICHLER,Results text,,alloy_material_dataset_v0.1.xlsx,Property_Points,16,"{""condition"": ""SRM 1155a"", ""data_kind"": ""measured"", ""material_id"": ""MAT-316L-SRM1155A"", ""notes"": """", ""property"": ""liquidus_temperature"", ""source_id"": ""SRC-316L-PICHLER"", ""source_locator"": ""Results text"", ""temperature_K"": """", ""uncertainty"": ""30"", ""unit"": ""K"", ""value"": ""1708""}"
